Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.9360744953155518	0	24.1428571429	11.3653010531	54.0	8.0	24.1428571429	11.3653010531	1014	1014
3.318437099456787	1	28.8857142857	18.8448877927	113.0	11.0	28.8857142857	18.8448877927	1011	2025
3.7295994758605957	2	32.1875	15.3448637579	68.0	10.0	32.1875	15.3448637579	1030	3055
4.204516410827637	3	33.5	16.5080788303	72.0	12.0	33.5	16.5080788303	1005	4060
4.622278213500977	4	30.4848484848	13.7799177816	68.0	11.0	30.4848484848	13.7799177816	1006	5066
4.941761016845703	5	38.9615384615	23.0392320405	117.0	11.0	38.9615384615	23.0392320405	1013	6079
5.279914379119873	6	37.8888888889	20.7012852228	106.0	11.0	37.8888888889	20.7012852228	1023	7102
5.580867767333984	7	38.8888888889	21.0331895282	106.0	14.0	38.8888888889	21.0331895282	1050	8152
5.879396915435791	8	38.8846153846	25.9516220378	153.0	14.0	38.8846153846	25.9516220378	1011	9163
6.147625923156738	9	42.48	24.6448696487	120.0	10.0	42.48	24.6448696487	1062	10225
6.442076683044434	10	39.0384615385	18.8179144786	107.0	16.0	39.0384615385	18.8179144786	1015	11240
6.844494342803955	11	44.625	29.7640898007	125.0	11.0	44.625	29.7640898007	1071	12311
7.3573668003082275	12	44.0	17.7837248507	80.0	20.0	44.0	17.7837248507	1012	13323
7.845867156982422	13	61.1176470588	39.2321632052	142.0	21.0	61.1176470588	39.2321632052	1039	14362
8.279875040054321	14	44.6956521739	17.5410940678	75.0	15.0	44.6956521739	17.5410940678	1028	15390
8.66844391822815	15	44.5217391304	15.6673839142	80.0	19.0	44.5217391304	15.6673839142	1024	16414
9.052446842193604	16	57.6666666667	33.2699397187	160.0	22.0	57.6666666667	33.2699397187	1038	17452
9.406144142150879	17	49.3333333333	20.3594679819	82.0	12.0	49.3333333333	20.3594679819	1036	18488
9.760382890701294	18	45.1304347826	16.6375801643	83.0	17.0	45.1304347826	16.6375801643	1038	19526
10.036163091659546	19	72.5714285714	42.4948976529	200.0	31.0	72.5714285714	42.4948976529	1016	20542
10.336671590805054	20	55.6666666667	19.5049851178	104.0	26.0	55.6666666667	19.5049851178	1002	21544
10.679549932479858	21	62.4705882353	24.9095248663	124.0	21.0	62.4705882353	24.9095248663	1062	22606
10.987369537353516	22	52.2	16.2006172722	84.0	30.0	52.2	16.2006172722	1044	23650
11.2761971950531	23	55.7777777778	18.0417896241	99.0	32.0	55.7777777778	18.0417896241	1004	24654
11.552359580993652	24	51.25	21.6052655619	119.0	21.0	51.25	21.6052655619	1025	25679
11.817559480667114	25	61.5882352941	31.038986535	140.0	29.0	61.5882352941	31.038986535	1047	26726
12.106674671173096	26	79.1538461538	27.5285757933	153.0	33.0	79.1538461538	27.5285757933	1029	27755
12.45678448677063	27	48.0	15.7328894207	78.0	22.0	48.0	15.7328894207	1008	28763
12.763851642608643	28	69.2666666667	19.3785677719	103.0	34.0	69.2666666667	19.3785677719	1039	29802
13.096839189529419	29	56.6842105263	29.7888227565	140.0	31.0	56.6842105263	29.7888227565	1077	30879
13.403947114944458	30	54.6315789474	19.5480797989	97.0	32.0	54.6315789474	19.5480797989	1038	31917
13.708553552627563	31	73.2857142857	36.4406142559	154.0	35.0	73.2857142857	36.4406142559	1026	32943
14.344053983688354	32	56.8333333333	13.8814424483	84.0	38.0	56.8333333333	13.8814424483	1023	33966
15.055724143981934	33	64.0588235294	18.1220391926	105.0	39.0	64.0588235294	18.1220391926	1089	35055
15.790365219116211	34	77.4285714286	40.4416939834	188.0	35.0	77.4285714286	40.4416939834	1084	36139
16.571097373962402	35	64.375	22.5246392868	117.0	30.0	64.375	22.5246392868	1030	37169
17.337538480758667	36	82.4615384615	29.2538370517	143.0	24.0	82.4615384615	29.2538370517	1072	38241
18.00842046737671	37	100.3	45.0378729516	200.0	46.0	100.3	45.0378729516	1003	39244
18.577958822250366	38	103.0	51.3147152384	200.0	51.0	103.0	51.3147152384	1030	40274
19.065275192260742	39	78.5384615385	29.0215182358	135.0	25.0	78.5384615385	29.0215182358	1021	41295
19.77825689315796	40	72.6	37.5975176486	178.0	25.0	72.6	37.5975176486	1089	42384
20.436997652053833	41	82.6923076923	23.5645908267	144.0	48.0	82.6923076923	23.5645908267	1075	43459
21.067980527877808	42	69.0	22.5772747101	106.0	31.0	69.0	22.5772747101	1035	44494
21.64700961112976	43	105.4	59.7247017573	200.0	27.0	105.4	59.7247017573	1054	45548
22.294880867004395	44	94.9166666667	33.863594841	147.0	56.0	94.9166666667	33.863594841	1139	46687
22.99138593673706	45	99.1666666667	41.001693732	200.0	58.0	99.1666666667	41.001693732	1190	47877
23.543691158294678	46	93.6666666667	48.6009830719	200.0	24.0	93.6666666667	48.6009830719	1124	49001
23.984318733215332	47	92.9166666667	35.9083517057	166.0	39.0	92.9166666667	35.9083517057	1115	50116
24.427364826202393	48	113.666666667	41.4916323559	189.0	73.0	113.666666667	41.4916323559	1023	51139
24.885804653167725	49	128.5	50.6013833803	200.0	79.0	128.5	50.6013833803	1028	52167
