Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.057119846343994	0	27.4054054054	13.8260612895	69.0	8.0	27.4054054054	13.8260612895	1014	1014
3.4608235359191895	1	25.05	11.0542978067	66.0	12.0	25.05	11.0542978067	1002	2016
3.8722293376922607	2	28.0277777778	15.3233411484	77.0	11.0	28.0277777778	15.3233411484	1009	3025
4.289760589599609	3	30.0	15.8837690001	72.0	10.0	30.0	15.8837690001	1020	4045
4.704162359237671	4	36.3571428571	21.6518133284	126.0	13.0	36.3571428571	21.6518133284	1018	5063
5.0526123046875	5	37.6296296296	21.2709994683	96.0	10.0	37.6296296296	21.2709994683	1016	6079
5.53271746635437	6	48.0952380952	30.61108539	134.0	14.0	48.0952380952	30.61108539	1010	7089
6.217443466186523	7	34.6896551724	13.6257956383	63.0	10.0	34.6896551724	13.6257956383	1006	8095
6.767718315124512	8	46.625	25.8357189759	132.0	11.0	46.625	25.8357189759	1119	9214
7.1225666999816895	9	41.75	25.7556628078	118.0	14.0	41.75	25.7556628078	1002	10216
7.49154257774353	10	40.56	22.6469953857	95.0	13.0	40.56	22.6469953857	1014	11230
7.823294401168823	11	37.4444444444	13.9955901344	77.0	17.0	37.4444444444	13.9955901344	1011	12241
8.136798858642578	12	45.2608695652	25.1157622279	137.0	14.0	45.2608695652	25.1157622279	1041	13282
8.477079629898071	13	50.75	18.7479998933	86.0	18.0	50.75	18.7479998933	1015	14297
9.057310342788696	14	54.0	25.1814468043	103.0	18.0	54.0	25.1814468043	1026	15323
9.748776197433472	15	51.35	19.8576811335	107.0	21.0	51.35	19.8576811335	1027	16350
10.40550971031189	16	54.6315789474	19.5211370633	99.0	33.0	54.6315789474	19.5211370633	1038	17388
11.174426794052124	17	56.1666666667	20.8998936733	96.0	31.0	56.1666666667	20.8998936733	1011	18399
11.938059329986572	18	49.7619047619	19.8396062795	95.0	20.0	49.7619047619	19.8396062795	1045	19444
12.554685354232788	19	69.1333333333	34.0310968903	157.0	22.0	69.1333333333	34.0310968903	1037	20481
13.1463041305542	20	44.4782608696	14.7938576126	88.0	27.0	44.4782608696	14.7938576126	1023	21504
13.783311367034912	21	54.3684210526	19.7995495066	109.0	25.0	54.3684210526	19.7995495066	1033	22537
14.550439357757568	22	53.4	21.8846978503	104.0	20.0	53.4	21.8846978503	1068	23605
15.072467565536499	23	53.95	15.3182081198	89.0	29.0	53.95	15.3182081198	1079	24684
15.561742782592773	24	56.1111111111	23.7484242492	104.0	25.0	56.1111111111	23.7484242492	1010	25694
15.948899507522583	25	65.1875	28.5727552705	117.0	30.0	65.1875	28.5727552705	1043	26737
16.42411756515503	26	67.6666666667	23.7898204187	111.0	34.0	67.6666666667	23.7898204187	1015	27752
16.81118392944336	27	66.8	24.7634138734	107.0	31.0	66.8	24.7634138734	1002	28754
17.332158088684082	28	83.4615384615	31.6194083159	137.0	28.0	83.4615384615	31.6194083159	1085	29839
17.841092824935913	29	70.6	34.27302146	167.0	31.0	70.6	34.27302146	1059	30898
18.53488326072693	30	73.1428571429	23.1481475435	126.0	43.0	73.1428571429	23.1481475435	1024	31922
18.930535078048706	31	68.6666666667	17.7150281462	95.0	41.0	68.6666666667	17.7150281462	1030	32952
19.427260160446167	32	72.4285714286	35.9835563352	171.0	37.0	72.4285714286	35.9835563352	1014	33966
19.869916915893555	33	84.25	31.2119768679	142.0	42.0	84.25	31.2119768679	1011	34977
20.251906394958496	34	80.7692307692	31.0833961271	125.0	44.0	80.7692307692	31.0833961271	1050	36027
20.6085524559021	35	113.8	45.9538899333	200.0	42.0	113.8	45.9538899333	1138	37165
20.98778796195984	36	77.2142857143	27.2977722048	128.0	45.0	77.2142857143	27.2977722048	1081	38246
21.512351751327515	37	95.9166666667	33.858672777	171.0	58.0	95.9166666667	33.858672777	1151	39397
22.005703687667847	38	103.0	41.0511875589	175.0	42.0	103.0	41.0511875589	1030	40427
22.62634253501892	39	106.1	49.9768946614	197.0	52.0	106.1	49.9768946614	1061	41488
