Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.446648597717285	0	28.7142857143	16.0989288527	68.0	10.0	28.7142857143	16.0989288527	1005	1005
3.293374538421631	1	24.1395348837	13.6630232538	65.0	9.0	24.1395348837	13.6630232538	1038	2043
4.0459980964660645	2	29.6571428571	16.0658339469	77.0	10.0	29.6571428571	16.0658339469	1038	3081
4.558615446090698	3	30.0	16.5874306975	84.0	11.0	30.0	16.5874306975	1050	4131
5.256673812866211	4	34.8965517241	16.7400919282	76.0	13.0	34.8965517241	16.7400919282	1012	5143
6.0194737911224365	5	33.9333333333	17.454575968	73.0	10.0	33.9333333333	17.454575968	1018	6161
6.75154185295105	6	33.9677419355	19.9668820493	113.0	14.0	33.9677419355	19.9668820493	1053	7214
7.442040920257568	7	34.5172413793	11.7374164156	65.0	17.0	34.5172413793	11.7374164156	1001	8215
7.963655710220337	8	40.8	19.8050498611	105.0	12.0	40.8	19.8050498611	1020	9235
8.393746614456177	9	47.0	22.8731680836	119.0	16.0	47.0	22.8731680836	1034	10269
8.83739161491394	10	44.5217391304	27.503153282	128.0	13.0	44.5217391304	27.503153282	1024	11293
9.47482180595398	11	38.6153846154	22.7089899567	106.0	15.0	38.6153846154	22.7089899567	1004	12297
9.953431606292725	12	40.36	18.7443431467	101.0	16.0	40.36	18.7443431467	1009	13306
10.360305547714233	13	51.85	21.166660105	104.0	23.0	51.85	21.166660105	1037	14343
10.907908201217651	14	45.9130434783	17.465277462	99.0	21.0	45.9130434783	17.465277462	1056	15399
11.443962812423706	15	54.1578947368	25.6951012286	109.0	15.0	54.1578947368	25.6951012286	1029	16428
12.059054374694824	16	54.3157894737	23.4746282557	125.0	28.0	54.3157894737	23.4746282557	1032	17460
12.780899286270142	17	50.75	24.4271877219	119.0	19.0	50.75	24.4271877219	1015	18475
13.387562036514282	18	46.3636363636	13.1651932781	76.0	23.0	46.3636363636	13.1651932781	1020	19495
13.884652614593506	19	56.9444444444	27.0256508242	106.0	26.0	56.9444444444	27.0256508242	1025	20520
14.30812692642212	20	61.0	24.7742750829	103.0	25.0	61.0	24.7742750829	1037	21557
14.719685792922974	21	64.375	31.6146228034	144.0	28.0	64.375	31.6146228034	1030	22587
15.234156370162964	22	60.9411764706	24.0501206753	114.0	29.0	60.9411764706	24.0501206753	1036	23623
15.622820138931274	23	56.1111111111	36.5207534437	177.0	22.0	56.1111111111	36.5207534437	1010	24633
16.024651765823364	24	59.1176470588	25.2117674508	101.0	25.0	59.1176470588	25.2117674508	1005	25638
16.514411449432373	25	64.6875	19.8170341815	110.0	34.0	64.6875	19.8170341815	1035	26673
16.97676730155945	26	67.5333333333	34.7003682337	151.0	29.0	67.5333333333	34.7003682337	1013	27686
17.422828197479248	27	62.625	34.8135659621	141.0	22.0	62.625	34.8135659621	1002	28688
17.877503156661987	28	66.1875	29.4177215935	144.0	28.0	66.1875	29.4177215935	1059	29747
18.152228832244873	29	61.1176470588	23.082670742	102.0	24.0	61.1176470588	23.082670742	1039	30786
18.41200304031372	30	71.2	25.8487910742	111.0	36.0	71.2	25.8487910742	1068	31854
18.686798095703125	31	77.0	27.9284800875	130.0	33.0	77.0	27.9284800875	1078	32932
18.945987701416016	32	67.25	26.5765404069	129.0	19.0	67.25	26.5765404069	1076	34008
19.22062039375305	33	80.8461538462	30.0968849751	136.0	17.0	80.8461538462	30.0968849751	1051	35059
19.490100145339966	34	106.4	44.2407052385	191.0	34.0	106.4	44.2407052385	1064	36123
19.796162605285645	35	80.3846153846	50.264742899	193.0	25.0	80.3846153846	50.264742899	1045	37168
20.126641273498535	36	132.777777778	57.5167179132	200.0	36.0	132.777777778	57.5167179132	1195	38363
20.399003982543945	37	91.5833333333	38.8682782685	163.0	26.0	91.5833333333	38.8682782685	1099	39462
20.661640167236328	38	132.25	41.6675833233	200.0	66.0	132.25	41.6675833233	1058	40520
20.96906089782715	39	111.4	58.1123050653	200.0	19.0	111.4	58.1123050653	1114	41634
21.22780156135559	40	104.0	42.748099373	186.0	25.0	104.0	42.748099373	1040	42674
21.49104070663452	41	130.875	46.6541463859	200.0	62.0	130.875	46.6541463859	1047	43721
21.776031255722046	42	98.7272727273	43.2794112485	185.0	48.0	98.7272727273	43.2794112485	1086	44807
22.08298373222351	43	149.25	34.8272522603	200.0	104.0	149.25	34.8272522603	1194	46001
22.34272050857544	44	133.25	46.8954955193	200.0	48.0	133.25	46.8954955193	1066	47067
22.625197172164917	45	129.875	19.0750982959	161.0	94.0	129.875	19.0750982959	1039	48106
22.891878128051758	46	150.857142857	51.9572037393	200.0	72.0	150.857142857	51.9572037393	1056	49162
23.189725160598755	47	168.285714286	38.4214013492	200.0	105.0	168.285714286	38.4214013492	1178	50340
23.4522545337677	48	175.666666667	31.3404247294	200.0	125.0	175.666666667	31.3404247294	1054	51394
23.708172082901	49	170.333333333	31.4413033374	200.0	106.0	170.333333333	31.4413033374	1022	52416
23.972126245498657	50	157.285714286	51.3384130361	200.0	70.0	157.285714286	51.3384130361	1101	53517
24.255547046661377	51	163.285714286	52.7303498558	200.0	45.0	163.285714286	52.7303498558	1143	54660
24.507673501968384	52	173.333333333	31.6420957306	200.0	106.0	173.333333333	31.6420957306	1040	55700
24.793986082077026	53	200.0	0.0	200.0	200.0	200.0	0.0	1200	56900
25.050323963165283	54	177.333333333	39.5080863734	200.0	92.0	177.333333333	39.5080863734	1064	57964
25.343149423599243	55	158.714285714	32.4597081481	200.0	111.0	158.714285714	32.4597081481	1111	59075
25.63874125480652	56	193.0	15.6524758425	200.0	158.0	193.0	15.6524758425	1158	60233
25.891557216644287	57	173.0	21.4709105536	200.0	139.0	173.0	21.4709105536	1038	61271
26.167287349700928	58	177.833333333	31.4558773876	200.0	129.0	177.833333333	31.4558773876	1067	62338
26.427990913391113	59	176.833333333	39.4985935052	200.0	90.0	176.833333333	39.4985935052	1061	63399
26.687546253204346	60	175.5	29.0903764156	200.0	117.0	175.5	29.0903764156	1053	64452
26.954317808151245	61	181.0	23.9582971014	200.0	135.0	181.0	23.9582971014	1086	65538
27.23099422454834	62	192.166666667	16.6374744344	200.0	155.0	192.166666667	16.6374744344	1153	66691
27.605090618133545	63	160.857142857	27.5806794251	200.0	130.0	160.857142857	27.5806794251	1126	67817
27.933061599731445	64	157.285714286	40.0774759888	200.0	105.0	157.285714286	40.0774759888	1101	68918
28.21187734603882	65	137.25	42.6636554927	168.0	31.0	137.25	42.6636554927	1098	70016
28.456538677215576	66	169.666666667	25.236657641	200.0	129.0	169.666666667	25.236657641	1018	71034
28.72821593284607	67	174.5	27.5484421822	200.0	125.0	174.5	27.5484421822	1047	72081
29.01046347618103	68	123.222222222	53.2786756963	192.0	26.0	123.222222222	53.2786756963	1109	73190
29.30230140686035	69	140.5	42.5852086997	200.0	82.0	140.5	42.5852086997	1124	74314
29.75461983680725	70	170.0	19.4336477962	200.0	148.0	170.0	19.4336477962	1020	75334
30.251137018203735	71	164.571428571	31.4681568885	200.0	120.0	164.571428571	31.4681568885	1152	76486
30.822755575180054	72	168.0	32.3934149687	200.0	124.0	168.0	32.3934149687	1008	77494
31.414156198501587	73	167.5	34.8938867616	200.0	113.0	167.5	34.8938867616	1005	78499
31.985498189926147	74	169.333333333	26.1130022956	200.0	135.0	169.333333333	26.1130022956	1016	79515
32.52132320404053	75	144.125	33.9390538318	197.0	75.0	144.125	33.9390538318	1153	80668
33.03149724006653	76	180.5	30.0097206474	200.0	121.0	180.5	30.0097206474	1083	81751
33.455869913101196	77	194.5	8.20060973343	200.0	178.0	194.5	8.20060973343	1167	82918
33.949382066726685	78	171.0	45.2032447213	200.0	75.0	171.0	45.2032447213	1026	83944
34.627610206604004	79	185.5	32.4229856737	200.0	113.0	185.5	32.4229856737	1113	85057
35.256688356399536	80	150.428571429	59.0758764952	200.0	29.0	150.428571429	59.0758764952	1053	86110
35.88627243041992	81	164.428571429	35.756546425	200.0	89.0	164.428571429	35.756546425	1151	87261
36.577863454818726	82	155.0	29.794534494	200.0	101.0	155.0	29.794534494	1085	88346
37.242698431015015	83	183.666666667	23.5560796587	200.0	143.0	183.666666667	23.5560796587	1102	89448
37.94797968864441	84	166.571428571	43.7259554918	200.0	79.0	166.571428571	43.7259554918	1166	90614
38.55470943450928	85	157.285714286	51.7596486125	200.0	51.0	157.285714286	51.7596486125	1101	91715
39.173078298568726	86	164.0	33.2823419506	200.0	116.0	164.0	33.2823419506	1148	92863
39.80517101287842	87	176.5	37.7701381164	200.0	94.0	176.5	37.7701381164	1059	93922
40.39857339859009	88	183.5	15.3487241598	200.0	158.0	183.5	15.3487241598	1101	95023
41.00610065460205	89	186.166666667	21.7594168631	200.0	142.0	186.166666667	21.7594168631	1117	96140
41.60670566558838	90	172.166666667	32.4777701752	200.0	118.0	172.166666667	32.4777701752	1033	97173
42.24962139129639	91	194.166666667	13.0437298687	200.0	165.0	194.166666667	13.0437298687	1165	98338
42.875253200531006	92	178.5	47.6296476297	200.0	72.0	178.5	47.6296476297	1071	99409
43.365368127822876	93	170.666666667	32.7346231925	200.0	118.0	170.666666667	32.7346231925	1024	100433
43.83034110069275	94	178.5	41.7282877674	200.0	86.0	178.5	41.7282877674	1071	101504
44.26650094985962	95	173.0	41.9285105865	200.0	83.0	173.0	41.9285105865	1038	102542
44.76508569717407	96	192.833333333	10.6209959776	200.0	173.0	192.833333333	10.6209959776	1157	103699
45.3290274143219	97	181.5	41.3672575837	200.0	89.0	181.5	41.3672575837	1089	104788
46.085596561431885	98	188.833333333	18.0593158478	200.0	150.0	188.833333333	18.0593158478	1133	105921
46.926626443862915	99	175.833333333	30.2016371889	200.0	116.0	175.833333333	30.2016371889	1055	106976
