Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.8352651596069336	0	25.3095238095	14.9530823311	73.0	9.0	25.3095238095	14.9530823311	1063	1063
3.433478832244873	1	24.5952380952	13.8925460038	84.0	9.0	24.5952380952	13.8925460038	1033	2096
4.144544839859009	2	28.3055555556	13.2807702346	82.0	12.0	28.3055555556	13.2807702346	1019	3115
4.834778547286987	3	32.3125	20.56155013	99.0	12.0	32.3125	20.56155013	1034	4149
5.511490106582642	4	32.34375	22.753584024	131.0	10.0	32.34375	22.753584024	1035	5184
6.23389744758606	5	30.8787878788	12.5981181273	67.0	13.0	30.8787878788	12.5981181273	1019	6203
6.904331207275391	6	40.24	20.1162223094	80.0	14.0	40.24	20.1162223094	1006	7209
7.648736476898193	7	38.4074074074	21.1909471574	93.0	17.0	38.4074074074	21.1909471574	1037	8246
8.354767084121704	8	41.7916666667	14.8323384498	81.0	21.0	41.7916666667	14.8323384498	1003	9249
8.83500599861145	9	43.125	21.5180399123	112.0	20.0	43.125	21.5180399123	1035	10284
9.313885927200317	10	43.0833333333	20.5708464148	82.0	17.0	43.0833333333	20.5708464148	1034	11318
9.793286085128784	11	42.0416666667	15.0927111731	76.0	14.0	42.0416666667	15.0927111731	1009	12327
10.247555017471313	12	57.5555555556	28.5252757747	143.0	13.0	57.5555555556	28.5252757747	1036	13363
10.63548469543457	13	50.3	26.2870690645	135.0	19.0	50.3	26.2870690645	1006	14369
11.017810583114624	14	44.2173913043	20.127758297	98.0	24.0	44.2173913043	20.127758297	1017	15386
11.345386505126953	15	51.7	22.4189651858	109.0	24.0	51.7	22.4189651858	1034	16420
11.654403448104858	16	48.9047619048	17.8829654564	116.0	28.0	48.9047619048	17.8829654564	1027	17447
11.96715784072876	17	52.85	29.1758033308	114.0	21.0	52.85	29.1758033308	1057	18504
12.289857149124146	18	48.9523809524	24.9866177335	129.0	13.0	48.9523809524	24.9866177335	1028	19532
12.625182151794434	19	50.1428571429	21.9464406796	124.0	18.0	50.1428571429	21.9464406796	1053	20585
12.961856842041016	20	45.5217391304	16.396896751	79.0	23.0	45.5217391304	16.396896751	1047	21632
13.297800064086914	21	54.5263157895	26.7057423769	128.0	23.0	54.5263157895	26.7057423769	1036	22668
13.711066722869873	22	48.0	15.1531860551	89.0	25.0	48.0	15.1531860551	1008	23676
14.190117359161377	23	59.7058823529	28.5281382372	132.0	27.0	59.7058823529	28.5281382372	1015	24691
14.67972207069397	24	50.95	17.2929899092	100.0	30.0	50.95	17.2929899092	1019	25710
15.20185136795044	25	60.5294117647	23.7018680005	110.0	19.0	60.5294117647	23.7018680005	1029	26739
15.81840705871582	26	59.0588235294	25.3364898173	113.0	20.0	59.0588235294	25.3364898173	1004	27743
16.37952446937561	27	54.8947368421	14.5272692288	99.0	34.0	54.8947368421	14.5272692288	1043	28786
16.93325114250183	28	61.5294117647	27.36059349	146.0	32.0	61.5294117647	27.36059349	1046	29832
17.65760827064514	29	69.9333333333	26.7394008077	130.0	30.0	69.9333333333	26.7394008077	1049	30881
18.293094873428345	30	76.0714285714	27.3925544777	116.0	32.0	76.0714285714	27.3925544777	1065	31946
18.898316144943237	31	70.7333333333	33.8988036498	147.0	30.0	70.7333333333	33.8988036498	1061	33007
19.33303189277649	32	59.2941176471	15.7359263204	88.0	22.0	59.2941176471	15.7359263204	1008	34015
19.88767123222351	33	64.1875	16.5235390807	105.0	39.0	64.1875	16.5235390807	1027	35042
20.379639148712158	34	79.3076923077	22.5060149751	143.0	49.0	79.3076923077	22.5060149751	1031	36073
20.996501445770264	35	87.25	41.0794453874	200.0	45.0	87.25	41.0794453874	1047	37120
21.614192962646484	36	83.5	36.1651305357	154.0	43.0	83.5	36.1651305357	1002	38122
22.27224349975586	37	110.1	45.4212505332	200.0	66.0	110.1	45.4212505332	1101	39223
22.84675669670105	38	80.3571428571	31.7571300045	145.0	17.0	80.3571428571	31.7571300045	1125	40348
23.481166124343872	39	78.9230769231	41.6126118798	192.0	19.0	78.9230769231	41.6126118798	1026	41374
24.171637296676636	40	83.4615384615	44.7705524521	200.0	28.0	83.4615384615	44.7705524521	1085	42459
24.759939193725586	41	118.222222222	52.843117449	200.0	54.0	118.222222222	52.843117449	1064	43523
25.366465091705322	42	113.5	51.6860716248	200.0	30.0	113.5	51.6860716248	1135	44658
25.95253348350525	43	133.125	29.9559572539	188.0	83.0	133.125	29.9559572539	1065	45723
26.50981855392456	44	118.444444444	33.3303702387	168.0	63.0	118.444444444	33.3303702387	1066	46789
27.009454488754272	45	100.5	39.5404855812	142.0	21.0	100.5	39.5404855812	1005	47794
27.6379132270813	46	128.555555556	44.1162885291	200.0	58.0	128.555555556	44.1162885291	1157	48951
28.06048607826233	47	116.0	57.6271540933	200.0	29.0	116.0	57.6271540933	1044	49995
28.46496295928955	48	151.285714286	55.0654527052	200.0	36.0	151.285714286	55.0654527052	1059	51054
28.86162281036377	49	140.625	31.448121963	187.0	82.0	140.625	31.448121963	1125	52179
29.201794862747192	50	124.444444444	33.0626042905	166.0	64.0	124.444444444	33.0626042905	1120	53299
29.502574920654297	51	112.888888889	34.0112544917	160.0	55.0	112.888888889	34.0112544917	1016	54315
29.849747896194458	52	140.0	44.2464687857	200.0	67.0	140.0	44.2464687857	1120	55435
30.183149576187134	53	145.285714286	36.8886908172	200.0	95.0	145.285714286	36.8886908172	1017	56452
30.6759352684021	54	169.333333333	30.0869111446	200.0	116.0	169.333333333	30.0869111446	1016	57468
31.283628940582275	55	127.333333333	42.6900977329	200.0	70.0	127.333333333	42.6900977329	1146	58614
31.809346914291382	56	145.285714286	49.1025582275	200.0	84.0	145.285714286	49.1025582275	1017	59631
32.420740842819214	57	137.25	38.1960403707	200.0	93.0	137.25	38.1960403707	1098	60729
33.116488218307495	58	139.375	57.4846446888	200.0	43.0	139.375	57.4846446888	1115	61844
33.74551868438721	59	186.833333333	13.9692121785	200.0	165.0	186.833333333	13.9692121785	1121	62965
34.36799716949463	60	152.714285714	54.9199788932	200.0	78.0	152.714285714	54.9199788932	1069	64034
34.94069695472717	61	164.428571429	33.397421384	200.0	124.0	164.428571429	33.397421384	1151	65185
35.49537777900696	62	155.285714286	61.8401494309	200.0	38.0	155.285714286	61.8401494309	1087	66272
36.12020397186279	63	170.166666667	38.5677614365	200.0	94.0	170.166666667	38.5677614365	1021	67293
36.73383045196533	64	178.0	30.1053705065	200.0	119.0	178.0	30.1053705065	1068	68361
37.320427656173706	65	191.0	13.4660065845	200.0	162.0	191.0	13.4660065845	1146	69507
37.88563895225525	66	172.333333333	29.9481032603	200.0	122.0	172.333333333	29.9481032603	1034	70541
38.540690660476685	67	196.333333333	6.57436097444	200.0	182.0	196.333333333	6.57436097444	1178	71719
39.19592833518982	68	163.714285714	30.0367122307	200.0	109.0	163.714285714	30.0367122307	1146	72865
39.84932589530945	69	192.333333333	17.1431878275	200.0	154.0	192.333333333	17.1431878275	1154	74019
40.35787916183472	70	179.0	21.7562251628	200.0	143.0	179.0	21.7562251628	1074	75093
40.81034016609192	71	185.833333333	30.3557609396	200.0	118.0	185.833333333	30.3557609396	1115	76208
41.19645833969116	72	175.833333333	35.806967044	200.0	109.0	175.833333333	35.806967044	1055	77263
41.50076770782471	73	190.666666667	15.7867736483	200.0	157.0	190.666666667	15.7867736483	1144	78407
41.78477501869202	74	188.666666667	17.6980852699	200.0	153.0	188.666666667	17.6980852699	1132	79539
42.07623839378357	75	167.142857143	58.7839350538	200.0	26.0	167.142857143	58.7839350538	1170	80709
42.366995334625244	76	200.0	0.0	200.0	200.0	200.0	0.0	1200	81909
42.65781831741333	77	183.5	25.2041663223	200.0	134.0	183.5	25.2041663223	1101	83010
42.93954277038574	78	187.333333333	22.2984802671	200.0	139.0	187.333333333	22.2984802671	1124	84134
43.2188925743103	79	189.833333333	22.7333577712	200.0	139.0	189.833333333	22.7333577712	1139	85273
43.505056858062744	80	176.5	33.3354166016	200.0	125.0	176.5	33.3354166016	1059	86332
43.8170952796936	81	200.0	0.0	200.0	200.0	200.0	0.0	1200	87532
44.11422824859619	82	196.166666667	8.57159391375	200.0	177.0	196.166666667	8.57159391375	1177	88709
44.397098541259766	83	188.833333333	24.9694257487	200.0	133.0	188.833333333	24.9694257487	1133	89842
44.68119287490845	84	184.0	33.1662479036	200.0	110.0	184.0	33.1662479036	1104	90946
45.00164437294006	85	169.428571429	25.7341193352	200.0	125.0	169.428571429	25.7341193352	1186	92132
45.28494882583618	86	191.333333333	19.379255805	200.0	148.0	191.333333333	19.379255805	1148	93280
45.562413930892944	87	174.666666667	46.6464241812	200.0	71.0	174.666666667	46.6464241812	1048	94328
45.8379111289978	88	172.833333333	38.8948011379	200.0	108.0	172.833333333	38.8948011379	1037	95365
46.14206004142761	89	200.0	0.0	200.0	200.0	200.0	0.0	1200	96565
46.44178557395935	90	200.0	0.0	200.0	200.0	200.0	0.0	1200	97765
46.740376234054565	91	200.0	0.0	200.0	200.0	200.0	0.0	1200	98965
47.004587173461914	92	173.666666667	58.8831234075	200.0	42.0	173.666666667	58.8831234075	1042	100007
47.34680390357971	93	200.0	0.0	200.0	200.0	200.0	0.0	1200	101207
47.76416611671448	94	177.166666667	32.2924999892	200.0	131.0	177.166666667	32.2924999892	1063	102270
48.267101764678955	95	196.833333333	7.08088192875	200.0	181.0	196.833333333	7.08088192875	1181	103451
