Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.178451776504517	0	26.4973544974	14.4081195284	79.0	10.0	26.4973544974	14.4081195284	5008	5008
8.086389780044556	1	29.7633136095	16.8056296119	100.0	9.0	29.7633136095	16.8056296119	5030	10038
10.179961681365967	2	28.0055865922	15.1534044727	89.0	9.0	28.0055865922	15.1534044727	5013	15051
13.025083303451538	3	31.4	17.1249817518	106.0	9.0	31.4	17.1249817518	5024	20075
16.163002252578735	4	34.6482758621	17.0728786876	95.0	10.0	34.6482758621	17.0728786876	5024	25099
18.44227910041809	5	36.384057971	20.3392682466	115.0	9.0	36.384057971	20.3392682466	5021	30120
20.742050409317017	6	39.1953125	20.3493160948	116.0	10.0	39.1953125	20.3493160948	5017	35137
23.22285032272339	7	38.7076923077	18.9718196499	127.0	11.0	38.7076923077	18.9718196499	5032	40169
25.443197011947632	8	38.2290076336	19.5645593609	100.0	9.0	38.2290076336	19.5645593609	5008	45177
27.48372459411621	9	42.0	19.5737920019	122.0	13.0	42.0	19.5737920019	5040	50217
29.95434021949768	10	39.7619047619	16.5056164426	107.0	14.0	39.7619047619	16.5056164426	5010	55227
33.20091962814331	11	50.3	24.1683677562	110.0	14.0	50.3	24.1683677562	5030	60257
35.02512049674988	12	46.3796296296	24.5008380781	154.0	13.0	46.3796296296	24.5008380781	5009	65266
36.332722425460815	13	49.5247524752	21.824046171	128.0	13.0	49.5247524752	21.824046171	5002	70268
37.86353397369385	14	48.6310679612	27.2674599952	200.0	15.0	48.6310679612	27.2674599952	5009	75277
39.261125564575195	15	49.2549019608	20.5591858552	149.0	17.0	49.2549019608	20.5591858552	5024	80301
40.5613489151001	16	53.2842105263	23.7290242698	128.0	19.0	53.2842105263	23.7290242698	5062	85363
41.89803194999695	17	53.4736842105	21.4568561514	113.0	19.0	53.4736842105	21.4568561514	5080	90443
43.1542181968689	18	53.7659574468	26.4970594643	162.0	17.0	53.7659574468	26.4970594643	5054	95497
45.06853985786438	19	56.2696629213	21.9707487074	132.0	24.0	56.2696629213	21.9707487074	5008	100505
47.86219835281372	20	56.1333333333	21.4057105569	124.0	22.0	56.1333333333	21.4057105569	5052	105557
50.66780138015747	21	58.9294117647	25.2030755524	149.0	16.0	58.9294117647	25.2030755524	5009	110566
53.005621910095215	22	57.0337078652	29.546934455	198.0	19.0	57.0337078652	29.546934455	5076	115642
54.98750352859497	23	59.0581395349	24.4869944841	145.0	18.0	59.0581395349	24.4869944841	5079	120721
56.324206590652466	24	61.9012345679	24.8906769885	139.0	23.0	61.9012345679	24.8906769885	5014	125735
57.66198253631592	25	58.9647058824	26.9755650037	150.0	13.0	58.9647058824	26.9755650037	5012	130747
59.07994818687439	26	63.7594936709	29.5563033564	166.0	12.0	63.7594936709	29.5563033564	5037	135784
60.45922803878784	27	67.6756756757	31.3244176012	200.0	20.0	67.6756756757	31.3244176012	5008	140792
61.77622032165527	28	65.3636363636	26.0996636745	147.0	21.0	65.3636363636	26.0996636745	5033	145825
63.64997625350952	29	67.0533333333	26.4932159031	146.0	19.0	67.0533333333	26.4932159031	5029	150854
65.3844861984253	30	67.5810810811	29.6679856378	179.0	20.0	67.5810810811	29.6679856378	5001	155855
66.73037695884705	31	78.375	36.8351479568	188.0	29.0	78.375	36.8351479568	5016	160871
68.28554606437683	32	74.6323529412	30.713526629	166.0	24.0	74.6323529412	30.713526629	5075	165946
69.67987442016602	33	74.5882352941	34.0256111559	163.0	24.0	74.5882352941	34.0256111559	5072	171018
71.21725153923035	34	78.46875	34.9387717792	174.0	26.0	78.46875	34.9387717792	5022	176040
72.49945044517517	35	82.4098360656	31.5544686759	200.0	30.0	82.4098360656	31.5544686759	5027	181067
74.3043622970581	36	91.6909090909	33.4999987665	183.0	28.0	91.6909090909	33.4999987665	5043	186110
76.14854049682617	37	98.2745098039	39.395967959	200.0	27.0	98.2745098039	39.395967959	5012	191122
77.51312136650085	38	100.34	47.6023570845	200.0	25.0	100.34	47.6023570845	5017	196139
78.7233657836914	39	104.5	41.2896274303	200.0	21.0	104.5	41.2896274303	5016	201155
80.2138876914978	40	118.046511628	51.5449469647	200.0	28.0	118.046511628	51.5449469647	5076	206231
81.83229041099548	41	121.095238095	53.5829617215	200.0	31.0	121.095238095	53.5829617215	5086	211317
83.11948823928833	42	146.342857143	41.2351742065	200.0	48.0	146.342857143	41.2351742065	5122	216439
84.59150958061218	43	159.78125	40.322709463	200.0	41.0	159.78125	40.322709463	5113	221552
86.29897594451904	44	146.2	44.4989887526	200.0	41.0	146.2	44.4989887526	5117	226669
89.76622009277344	45	163.709677419	46.129686438	200.0	27.0	163.709677419	46.129686438	5075	231744
93.25715827941895	46	145.542857143	44.490347497	200.0	43.0	145.542857143	44.490347497	5094	236838
96.67951440811157	47	163.032258065	42.5906879652	200.0	66.0	163.032258065	42.5906879652	5054	241892
99.57215142250061	48	163.483870968	35.850829808	200.0	75.0	163.483870968	35.850829808	5068	246960
101.82966041564941	49	172.533333333	41.6355083499	200.0	25.0	172.533333333	41.6355083499	5176	252136
103.7993016242981	50	167.633333333	44.4908105368	200.0	62.0	167.633333333	44.4908105368	5029	257165
106.73232555389404	51	168.1	43.2822904508	200.0	63.0	168.1	43.2822904508	5043	262208
110.23625636100769	52	177.172413793	35.2195762233	200.0	93.0	177.172413793	35.2195762233	5138	267346
112.83910512924194	53	172.8	38.46244922	200.0	74.0	172.8	38.46244922	5184	272530
